Time,LEPDiameter,REPDiameter,Fixation
1616035901543, -1,-1,NULL
1616035901569, -1,-1,NULL
1616035901591, -1,-1,NULL
1616035901609, -1,-1,NULL
1616035901625, -1,-1,NULL
1616035901642, -1,-1,NULL
1616035901658, -1,-1,NULL
1616035901676, -1,-1,NULL
1616035901693, -1,-1,NULL
1616035901709, -1,-1,NULL
1616035901733, -1,-1,NULL
1616035901749, -1,-1,NULL
1616035901766, -1,-1,NULL
1616035901782, -1,-1,NULL
1616035901799, -1,-1,NULL
1616035901815, -1,-1,NULL
1616035901831, -1,-1,NULL
1616035901848, -1,-1,NULL
1616035901865, -1,-1,NULL
1616035901881, -1,-1,NULL
1616035901897, -1,-1,NULL
1616035901914, -1,-1,NULL
1616035901930, -1,-1,NULL
1616035901947, -1,-1,NULL
1616035901963, -1,-1,NULL
1616035901980, -1,-1,NULL
1616035901997, -1,-1,NULL
1616035902013, -1,-1,NULL
1616035902036, -1,-1,NULL
1616035902058, -1,-1,NULL
1616035902080, -1,-1,NULL
1616035902104, -1,-1,NULL
1616035902125, -1,-1,NULL
1616035902147, -1,-1,NULL
1616035902169, -1,-1,NULL
1616035902194, -1,-1,NULL
1616035902214, -1,-1,NULL
1616035902244, -1,-1,NULL
1616035902262, -1,-1,NULL
1616035902280, -1,-1,NULL
1616035902302, -1,-1,NULL
1616035902328, -1,-1,NULL
1616035902349, -1,-1,NULL
1616035902369, -1,-1,NULL
1616035902391, -1,-1,NULL
1616035902416, -1,-1,NULL
1616035902438, -1,-1,NULL
1616035902456, -1,-1,NULL
1616035902475, -1,-1,NULL
1616035902494, -1,-1,NULL
1616035902514, -1,-1,NULL
1616035902531, -1,-1,NULL
1616035902549, -1,-1,NULL
1616035902571, -1,-1,NULL
1616035902593, -1,-1,NULL
1616035902611, -1,-1,NULL
1616035902628, -1,-1,NULL
1616035902645, -1,-1,NULL
1616035902662, -1,-1,NULL
1616035902689, -1,-1,NULL
1616035902708, -1,-1,NULL
1616035902726, -1,-1,NULL
1616035902744, -1,-1,NULL
1616035902763, -1,-1,NULL
1616035902780, -1,-1,NULL
1616035902797, -1,-1,NULL
1616035902815, -1,-1,NULL
1616035902832, -1,-1,NULL
1616035902850, -1,-1,NULL
1616035902867, -1,-1,NULL
1616035902884, -1,-1,NULL
1616035902901, -1,-1,NULL
1616035902918, -1,-1,NULL
1616035902934, -1,-1,NULL
1616035902950, -1,-1,NULL
1616035902967, -1,-1,NULL
1616035902983, -1,-1,NULL
1616035903008, -1,-1,NULL
1616035903025, -1,-1,NULL
1616035903047, -1,-1,NULL
1616035903068, -1,-1,NULL
1616035903095, -1,-1,NULL
1616035903112, -1,-1,NULL
1616035903135, -1,-1,NULL
1616035903158, -1,-1,NULL
1616035903180, -1,-1,NULL
1616035903202, -1,-1,NULL
1616035903224, -1,-1,NULL
1616035903246, -1,-1,NULL
1616035903268, -1,-1,NULL
1616035903291, -1,-1,NULL
1616035903313, -1,-1,NULL
1616035903335, -1,-1,NULL
1616035903358, -1,-1,NULL
1616035903381, -1,-1,NULL
1616035903398, -1,-1,NULL
1616035903417, -1,-1,NULL
1616035903435, -1,-1,NULL
1616035903457, -1,-1,NULL
1616035903475, -1,-1,NULL
1616035903492, -1,-1,NULL
1616035903508, -1,-1,NULL
1616035903525, -1,-1,NULL
1616035903541, -1,-1,NULL
1616035903565, -1,-1,NULL
1616035903582, -1,-1,NULL
1616035903599, -1,-1,NULL
1616035903616, -1,-1,NULL
1616035903634, -1,-1,NULL
1616035903651, -1,-1,NULL
1616035903668, -1,-1,NULL
1616035903687, -1,-1,NULL
1616035903704, -1,-1,NULL
1616035903721, -1,-1,NULL
1616035903739, -1,-1,NULL
1616035903759, -1,-1,NULL
1616035903777, -1,-1,NULL
1616035903794, -1,-1,NULL
1616035903811, -1,-1,NULL
1616035903828, -1,-1,NULL
1616035903844, -1,-1,NULL
1616035903861, -1,-1,NULL
1616035903876, -1,-1,NULL
1616035903892, -1,-1,NULL
1616035903912, -1,-1,NULL
1616035903934, -1,-1,NULL
1616035903959, -1,-1,NULL
1616035903979, -1,-1,NULL
1616035904001, -1,-1,NULL
1616035904024, -1,-1,NULL
1616035904046, -1,-1,NULL
1616035904068, -1,-1,NULL
1616035904091, -1,-1,NULL
1616035904113, -1,-1,NULL
1616035904134, -1,-1,NULL
1616035904157, -1,-1,NULL
1616035904179, -1,-1,NULL
1616035904203, -1,-1,NULL
1616035904226, -1,-1,NULL
1616035904247, -1,-1,NULL
1616035904270, -1,-1,NULL
1616035904292, -1,-1,NULL
1616035904314, -1,-1,NULL
1616035904337, -1,-1,NULL
1616035904354, -1,-1,NULL
1616035904380, -1,-1,NULL
1616035904397, -1,-1,NULL
1616035904414, -1,-1,NULL
1616035904431, -1,-1,NULL
1616035904447, -1,-1,NULL
1616035904463, -1,-1,NULL
1616035904479, -1,-1,NULL
1616035904496, -1,-1,NULL
1616035904512, -1,-1,NULL
1616035904530, -1,-1,NULL
1616035904548, -1,-1,NULL
1616035904566, -1,-1,NULL
1616035904585, -1,-1,NULL
1616035904603, -1,-1,NULL
1616035904622, -1,-1,NULL
1616035904640, -1,-1,NULL
1616035904658, -1,-1,NULL
1616035904675, -1,-1,NULL
1616035904692, -1,-1,NULL
1616035904709, -1,-1,NULL
1616035904726, -1,-1,NULL
1616035904745, -1,-1,NULL
1616035904762, -1,-1,NULL
1616035904779, -1,-1,NULL
1616035904795, -1,-1,NULL
1616035904812, -1,-1,NULL
1616035904834, -1,-1,NULL
1616035904857, -1,-1,NULL
1616035904879, -1,-1,NULL
1616035904902, -1,-1,NULL
1616035904924, -1,-1,NULL
1616035904947, -1,-1,NULL
1616035904969, -1,-1,NULL
1616035904991, -1,-1,NULL
1616035905014, -1,-1,NULL
1616035905035, -1,-1,NULL
1616035905059, -1,-1,NULL
1616035905079, -1,-1,NULL
1616035905103, -1,-1,NULL
1616035905123, -1,-1,NULL
1616035905146, -1,-1,NULL
1616035905168, -1,-1,NULL
1616035905191, -1,-1,NULL
1616035905214, -1,-1,NULL
1616035905235, -1,-1,NULL
1616035905257, -1,-1,NULL
1616035905274, -1,-1,NULL
1616035905290, -1,-1,NULL
1616035905306, -1,-1,NULL
1616035905324, -1,-1,NULL
1616035905341, -1,-1,NULL
1616035905358, -1,-1,NULL
1616035905376, -1,-1,NULL
1616035905394, -1,-1,NULL
1616035905412, -1,-1,NULL
1616035905428, -1,-1,NULL
1616035905444, -1,-1,NULL
1616035905461, -1,-1,NULL
1616035905477, -1,-1,NULL
1616035905494, -1,-1,NULL
1616035905510, -1,-1,NULL
1616035905528, -1,-1,NULL
1616035905545, -1,-1,NULL
1616035905562, -1,-1,NULL
1616035905579, -1,-1,NULL
1616035905596, -1,-1,NULL
1616035905613, -1,-1,NULL
1616035905632, -1,-1,NULL
1616035905652, -1,-1,NULL
1616035905668, -1,-1,NULL
1616035905685, -1,-1,NULL
1616035905701, -1,-1,NULL
1616035905728, -1,-1,NULL
1616035905744, -1,-1,NULL
1616035905780, -1,-1,NULL
1616035905798, -1,-1,NULL
1616035905817, -1,-1,NULL
1616035905833, -1,-1,NULL
1616035905849, -1,-1,NULL
1616035905867, -1,-1,NULL
1616035905885, -1,-1,NULL
1616035905901, -1,-1,NULL
1616035905923, -1,-1,NULL
1616035905945, -1,-1,NULL
1616035905968, -1,-1,NULL
1616035905990, -1,-1,NULL
1616035906012, -1,-1,NULL
1616035906037, -1,-1,NULL
1616035906056, -1,-1,NULL
1616035906079, -1,-1,NULL
1616035906101, -1,-1,NULL
1616035906123, -1,-1,NULL
1616035906146, -1,-1,NULL
1616035906168, -1,-1,NULL
1616035906189, -1,-1,NULL
1616035906203, -1,-1,NULL
1616035906218, -1,-1,NULL
1616035906235, -1,-1,NULL
1616035906252, -1,-1,NULL
1616035906267, -1,-1,NULL
1616035906282, -1,-1,NULL
1616035906297, -1,-1,NULL
1616035906312, -1,-1,NULL
1616035906336, -1,-1,NULL
1616035906351, -1,-1,NULL
1616035906367, -1,-1,NULL
1616035906382, -1,-1,NULL
1616035906397, -1,-1,NULL
1616035906411, -1,-1,NULL
1616035906427, -1,-1,NULL
1616035906444, -1,-1,NULL
1616035906459, -1,-1,NULL
1616035906473, -1,-1,NULL
1616035906488, -1,-1,NULL
1616035906502, -1,-1,NULL
1616035906517, -1,-1,NULL
1616035906532, -1,-1,NULL
1616035906547, -1,-1,NULL
1616035906562, -1,-1,NULL
1616035906577, -1,-1,NULL
1616035906591, -1,-1,NULL
1616035906611, -1,-1,NULL
1616035906634, -1,-1,NULL
1616035906659, -1,-1,NULL
1616035906677, -1,-1,NULL
1616035906700, -1,-1,NULL
1616035906722, -1,-1,NULL
1616035906744, -1,-1,NULL
1616035906767, -1,-1,NULL
1616035906790, -1,-1,NULL
1616035906813, -1,-1,NULL
1616035906835, -1,-1,NULL
1616035906860, -1,-1,NULL
1616035906880, -1,-1,NULL
1616035906905, -1,-1,NULL
1616035906923, -1,-1,NULL
1616035906945, -1,-1,NULL
1616035906968, -1,-1,NULL
1616035906989, -1,-1,NULL
1616035907011, -1,-1,NULL
1616035907034, -1,-1,NULL
1616035907056, -1,-1,NULL
1616035907074, -1,-1,NULL
1616035907091, -1,-1,NULL
1616035907108, -1,-1,NULL
1616035907125, -1,-1,NULL
1616035907140, -1,-1,NULL
1616035907156, -1,-1,NULL
1616035907172, -1,-1,NULL
1616035907188, -1,-1,NULL
1616035907204, -1,-1,NULL
1616035907219, -1,-1,NULL
1616035907236, -1,-1,NULL
1616035907252, -1,-1,NULL
1616035907267, -1,-1,NULL
1616035907285, -1,-1,NULL
1616035907301, -1,-1,NULL
1616035907316, -1,-1,NULL
1616035907331, -1,-1,NULL
1616035907347, -1,-1,NULL
1616035907363, -1,-1,NULL
1616035907378, -1,-1,NULL
1616035907401, -1,-1,NULL
1616035907416, -1,-1,NULL
1616035907431, -1,-1,NULL
1616035907447, -1,-1,NULL
1616035907462, -1,-1,NULL
1616035907478, -1,-1,NULL
1616035907504, -1,-1,NULL
1616035907522, -1,-1,NULL
1616035907545, -1,-1,NULL
1616035907567, -1,-1,NULL
1616035907589, -1,-1,NULL
1616035907612, -1,-1,NULL
1616035907633, -1,-1,NULL
1616035907656, -1,-1,NULL
1616035907678, -1,-1,NULL
1616035907703, -1,-1,NULL
1616035907722, -1,-1,NULL
1616035907745, -1,-1,NULL
1616035907767, -1,-1,NULL
1616035907789, -1,-1,NULL
1616035907811, -1,-1,NULL
1616035907833, -1,-1,NULL
1616035907856, -1,-1,NULL
1616035907878, -1,-1,NULL
1616035907900, -1,-1,NULL
1616035907925, -1,-1,NULL
1616035907939, -1,-1,NULL
1616035907954, -1,-1,NULL
1616035907977, -1,-1,NULL
1616035907992, -1,-1,NULL
1616035908006, -1,-1,NULL
1616035908021, -1,-1,NULL
1616035908036, -1,-1,NULL
1616035908051, -1,-1,NULL
1616035908065, -1,-1,NULL
1616035908080, -1,-1,NULL
1616035908095, -1,-1,NULL
1616035908110, -1,-1,NULL
1616035908129, -1,-1,NULL
1616035908144, -1,-1,NULL
1616035908159, -1,-1,NULL
1616035908174, -1,-1,NULL
1616035908189, -1,-1,NULL
1616035908204, -1,-1,NULL
1616035908219, -1,-1,NULL
1616035908234, -1,-1,NULL
1616035908249, -1,-1,NULL
